"#","source","filename","r2_key","r2_public_url","status","size_kb"
"82","colors/5e02f619-e0c4-41c0-be03-c90cbbe58aeb/ img2","1780856969187_rauani.webp","nyvarastore/products/1780856969187_rauani.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780856969187_rauani.webp","copied","20.8"
"83","colors/5e02f619-e0c4-41c0-be03-c90cbbe58aeb/ img2","1780856991596_pdg6w.webp","nyvarastore/products/1780856991596_pdg6w.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780856991596_pdg6w.webp","copied","20.0"
"84","colors/51e2d4a1-3638-4394-8039-357d4896038b/Rouge img2","1780456265061_6s5sg.jpg","nyvarastore/products/1780456265061_6s5sg.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780456265061_6s5sg.jpg","copied","45.4"
"85","colors/51e2d4a1-3638-4394-8039-357d4896038b/ img1","1780456288132_pes7zb.jpg","nyvarastore/products/1780456288132_pes7zb.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780456288132_pes7zb.jpg","copied","49.2"
"86","colors/51e2d4a1-3638-4394-8039-357d4896038b/ img2","1780456290309_d8tro.jpg","nyvarastore/products/1780456290309_d8tro.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780456290309_d8tro.jpg","copied","44.8"
"87","colors/b61ccd4a-0aab-4e3d-a8fb-1c640fb27e1d/ img1","1780685285430_2wfs1.JPG","nyvarastore/products/1780685285430_2wfs1.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780685285430_2wfs1.JPG","copied","1800.2"
"88","colors/b61ccd4a-0aab-4e3d-a8fb-1c640fb27e1d/ img2","1780685303603_d9tt1w.JPG","nyvarastore/products/1780685303603_d9tt1w.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780685303603_d9tt1w.JPG","copied","1993.2"
"89","colors/b61ccd4a-0aab-4e3d-a8fb-1c640fb27e1d/ img1","1780685321409_4ta4.JPG","nyvarastore/products/1780685321409_4ta4.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780685321409_4ta4.JPG","copied","1494.0"
"90","colors/b61ccd4a-0aab-4e3d-a8fb-1c640fb27e1d/ img2","1780685329230_a3xy97.JPG","nyvarastore/products/1780685329230_a3xy97.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780685329230_a3xy97.JPG","copied","1881.0"
"91","colors/743950a2-0dbd-46c1-94ca-0ccccac0e59c/noir img1","1780692097284_xh2szm.JPG","nyvarastore/products/1780692097284_xh2szm.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780692097284_xh2szm.JPG","copied","2098.4"
"92","colors/743950a2-0dbd-46c1-94ca-0ccccac0e59c/rouge img1","1780692265251_vt2ni9.JPG","nyvarastore/products/1780692265251_vt2ni9.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780692265251_vt2ni9.JPG","copied","1913.3"
"93","colors/d2085dce-8c34-49d1-a30c-88b60fd1f748/Noir / Gold img2","1780455403193_orsjrm.jpg","nyvarastore/products/1780455403193_orsjrm.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780455403193_orsjrm.jpg","copied","57.2"
